"prope","pvalue","qvalue"
"CDCA8",6.61455196423234e-06,0.0452898372990989
"EXO1",6.71647645848624e-06,0.0459809978347968
"MTUS1",6.9845247488828e-06,0.0478090719061028
"DHFR",7.19409598814171e-06,0.0492363929428419
"MKI67",7.75177106620016e-06,0.0530453694060077
"VWF",7.89902404895689e-06,0.054045122542963
"PYCARD",7.93698313697615e-06,0.0542969016400539
"OIP5",8.09328600868928e-06,0.0553580762994346
"MCM10",8.29744755484037e-06,0.0567462438275533
"PRC1",9.82699746667253e-06,0.0671970086771068
"TRIP13",1.06936164152879e-05,0.0731122554313235
"MYB",1.08959825380877e-05,0.0744849366303676
"CST3",1.14015081532072e-05,0.0779293082271714
"DUSP1",1.27381276973868e-05,0.0870523646839414
"CDCA3",1.45510132630247e-05,0.0994270736262481
"MACF1",1.4823164140931e-05,0.10127185741084
"ASAH1",1.54785542974996e-05,0.105734004406219
"RAD51",1.85354819643005e-05,0.126597341816172
"RABEP1",2.02184677036741e-05,0.138071915948391
"CKS2",2.26492214024753e-05,0.154648883736101
"IL6ST",2.27513619431591e-05,0.155323547985947
"KIF5C",2.29187249050608e-05,0.156443216201945
"HADHB",2.31142680836337e-05,0.1577548796708
"PLK1",2.35812077247602e-05,0.160918161513764
"ADRA2A",2.56324429630135e-05,0.174890158336641
"SPTAN1",2.6098326681045e-05,0.178042784618089
"CFH",2.62893446005776e-05,0.17931961952054
"MLLT3",2.66386425305972e-05,0.181675542058673
"DUSP4",3.02878698087747e-05,0.206532984226034
"PIP",3.18045989734012e-05,0.216843755800649
"EMCN",3.24770152317176e-05,0.221395812834619
"ANKRA2",3.28890715402092e-05,0.224171911618066
"LRP8",3.32657794414395e-05,0.22670628689341
"ESR1",3.33584788623575e-05,0.227304674968104
"TK1",3.37524902780902e-05,0.229955716264628
"PTTG1",3.42593507040533e-05,0.233374696996011
"E2F3",3.68862440894079e-05,0.251232208492957
"JUNB",3.73931974626933e-05,0.254647674720941
"IGFBP4",3.76260161026214e-05,0.256195543642749
"CKS1B",3.77234517459533e-05,0.25682125948645
"MUC1",3.78964806073917e-05,0.257961343494515
"CLIC2",3.98893452340088e-05,0.271486883662664
"KCNMA1",4.06392856864293e-05,0.276550339096151
"CEP55",4.11940131206049e-05,0.280284065272596
"NUMA1",4.21505660552711e-05,0.286750300874009
"XPOT",4.35319111418481e-05,0.296104059586851
"CFB",4.4951981195914e-05,0.305718424113411
"IKBKB",4.55149814534166e-05,0.309501873883233
"LTBP3",4.57195087133784e-05,0.31084693974226
"XBP1",4.7785868916728e-05,0.324848336895917
"ABHD5",4.93780642690116e-05,0.335622702836472
"PNP",5.03610852804424e-05,0.342253935565887
"CXCL12",5.14225013478526e-05,0.349415896658658
"HLA-DRA",5.1552173933301e-05,0.350245469702847
"TXN",5.29833363195058e-05,0.359915803618403
"BBS4",5.35204126546264e-05,0.363510642750223
"CENPA",5.44074527757185e-05,0.369481011799904
"YARS",5.59428339595749e-05,0.379851842585514
"TREM1",5.6855593664351e-05,0.385992625387279
"CDKN3",5.73160679174854e-05,0.389061469023891
"CDK1",5.88390179395896e-05,0.399340414755994
"CEBPG",6.17184378827962e-05,0.418821319472655
"IER3",6.1791612006199e-05,0.41925608746206
"PDLIM4",6.56265966447337e-05,0.445210831637873
"PMP22",6.62263875224924e-05,0.449213586565066
"C3",6.88081719174911e-05,0.466657021944424
"STAT5B",6.97195265222687e-05,0.472768109347504
"CCL19",6.99729953416976e-05,0.47441690841671
"ABR",7.19006825257056e-05,0.487414726841758
"DLGAP5",7.33232908552573e-05,0.496985265416934
"TNKS",7.45084514178095e-05,0.504943775258495
"GBP2",7.70725547621064e-05,0.522243631068033
"STMN1",7.719582486455e-05,0.523001713457326
"CD74",7.8201217685994e-05,0.529735048604923
"STARD13",8.0529465733988e-05,0.5454260714163
"CALML3",8.11028256597556e-05,0.549228335367865
"HNRNPAB",9.23429661954632e-05,0.625254224109481
"PARP3",9.7752462060216e-05,0.661784168147663
"NDUFAF3",0.000101857141603448,0.689470991513739
"RBPMS",0.000106104707681303,0.718116661587061
"HMMR",0.000115305634789161,0.780273230618255
"DNMT3B",0.000117066495121758,0.792071905993815
"VEGFA",0.000121349035934755,0.820926228098617
"FARP2",0.000121623169769367,0.822659120319995
"RAD1",0.000137552368980101,0.930266671412423
"IFT88",0.000141105173797427,0.954153185218199
"JAM2",0.000142620732759843,0.964258774189296
"TXNRD1",0.000144161709912386,0.974533159007732
"MYBL2",0.000145604121671143,0.984138258375255
"RPL41",0.00406414914034871,1
"EEF1A1",0.0203456216056963,1
"TPT1",0.106577173826284,1
"RPL23A",0.0569535762304362,1
"UBC",0.652697752290897,1
"RPS2",0.584535886566075,1
"ACTB",0.971811838905562,1
"HUWE1",0.116064488443513,1
"RPS4X",0.139867735475517,1
"RPLP0",0.697583090952769,1
"RPS10",0.211064963546616,1
"RPL7",0.155334666631729,1
"PPIA",0.0823185930014452,1
"FTL",0.500317757682754,1
"GAPDH",0.025981381220859,1
"RPS15A",0.0485708639693946,1
"RPLP1",0.339525822409496,1
"RPS15",0.140038562793411,1
"CFL1",0.349418537292392,1
"RPL31",0.214485489039363,1
"TMSB10",0.134204893155244,1
"UBB",0.362209223586189,1
"RPS14",0.00556242895484371,1
"RPL30",0.00473300947487687,1
"B2M",0.107258802037243,1
"RPS6",0.265047951133865,1
"RPS19",0.710530760997964,1
"RPL12",0.110061576606052,1
"HLA-B",0.0318900036354522,1
"RPS16",0.136593930999437,1
"RPL3",0.00885101277170971,1
"RPL9",0.493364213608928,1
"HLA-C",0.0510051225802358,1
"HLA-A",0.151545616983207,1
"TUBA1B",0.00105205420206784,1
"RPS21",0.558124387834222,1
"RPL24",0.697628845929663,1
"RPL14",0.580423059827417,1
"RPL38",0.122776948207336,1
"PABPC1",0.000327974199792396,1
"COL1A2",0.051170430983723,1
"FTH1",0.476477286272172,1
"RPS3",0.665774939291926,1
"ANXA2",0.499413617371386,1
"TUBA1C",0.00698207135064868,1
"RPL8",0.185751837638981,1
"RPL22",0.0312526276047222,1
"HSP90AA1",0.106638454897623,1
"RPL29",0.0635030063320729,1
"OAZ1",0.0455478062998766,1
"COX6C",0.570087642297427,1
"FN1",0.201315716810949,1
"CD24",0.351548499713346,1
"EIF1",0.549637121225849,1
"RPS7",0.18222748515457,1
"COL3A1",0.104568558763993,1
"MGP",0.000988621661865953,1
"PSAP",0.504783628190908,1
"HMGB1",0.0604251861472392,1
"EEF2",0.0132435527715786,1
"RPS27A",0.351017099993102,1
"RPL11",0.389582667444166,1
"RPL6",0.940551132153905,1
"TMSB4X",0.807869269631585,1
"VIM",0.136969643973927,1
"ALDOA",0.250394677657608,1
"COL1A1",0.108161203435361,1
"HSP90AB1",0.722776469737018,1
"UBA52",0.248562612978312,1
"LDHA",0.0337740669632773,1
"LAMP1",0.909377096623419,1
"RPL15",0.757570489738275,1
"PTMA",0.0561978161135599,1
"HMGN2",0.774389023570058,1
"LGALS1",0.673063929414715,1
"RPL35A",0.42943557490558,1
"MYL6",0.603786942628785,1
"MIF",0.194285573106141,1
"EEF1D",0.694611090230126,1
"NPM1",0.007178298956201,1
"CD63",0.0192223752869186,1
"DDX17",0.699903741659881,1
"RPS9",0.0128736568983253,1
"SKP1",0.107394041282182,1
"IGLC1",0.287079398226802,1
"BTF3",0.457914913502701,1
"DSTN",0.00878195923429306,1
"TUBB",0.0445008058552282,1
"MORF4L2",0.219693329386533,1
"GATA3",0.00257801687759477,1
"YWHAQ",0.00327924602249988,1
"CLTC",0.689633776828266,1
"KRT18",0.055416665757819,1
"YWHAB",0.610780882124809,1
"ATP5A1",0.0392059022047243,1
"JTB",0.377662698734451,1
"RHOA",0.402257696371646,1
"HSPD1",0.0131388940433334,1
"HLA-G",0.19450173377367,1
"SPARC",0.343557591601406,1
"PRDX1",0.115389727881801,1
"SRP14",0.741646326007291,1
"EIF3H",0.0519403886791007,1
"KRT19",0.189079044090605,1
"RAC1",0.733715390182826,1
"RPN2",0.85714682161419,1
"GLUL",0.000632694701338651,1
"RPS25",0.208445760425918,1
"CANX",0.0756563886595968,1
"DCN",0.00983920701394504,1
"HNRNPK",0.292581001007242,1
"PTPRO",0.241504329856093,1
"PNN",0.500767496230114,1
"DBI",0.660029660871297,1
"P4HB",0.444258167542309,1
"EIF3E",0.000371477312102299,1
"LAPTM4A",0.23724873539514,1
"MT2A",0.729783400398157,1
"TIMP1",0.00289030485619335,1
"EIF3L",0.737987423095131,1
"HSPB1",0.37794138397829,1
"GDI2",0.0011590343725116,1
"SRP9",0.773961148048546,1
"PARK7",0.0274585335197979,1
"CTSB",0.291694301235357,1
"SET",0.0122952325721061,1
"COL6A3",0.0173411993983916,1
"SOD1",0.343425399740986,1
"HLA-DPA1",0.0113146378934332,1
"S100A10",0.0294968433644376,1
"RAB1A",0.523186833631655,1
"SLC25A5",0.000868838399679994,1
"CD9",0.0105151568757159,1
"ITM2B",0.0124779163557814,1
"HNRNPH1",0.0092319308235977,1
"CSTB",0.00231601446983882,1
"ITGB1",0.322458796401598,1
"ACTR3",0.00560603027924825,1
"MYL12B",0.0736489006059519,1
"HLA-E",0.652307571236933,1
"ATP5L",0.893405449410998,1
"PPA1",0.0649913958098555,1
"PTP4A2",0.190824251945769,1
"NONO",0.170397212178387,1
"SEPT9",0.366367033045116,1
"IFITM2",0.00150939093864865,1
"SAT1",0.924930610574467,1
"HINT1",0.549986463283907,1
